  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
         560.4322        3.296980E-05        4.052287E-05
         562.4850        3.281772E-05        4.036531E-05
         564.5379        3.170336E-05        3.902304E-05
         566.5908        3.363067E-05        4.142545E-05
         568.6436        3.446094E-05        4.247902E-05
         570.6965        3.296246E-05        4.066144E-05
         572.7493        3.421117E-05        4.223248E-05
         574.8022        3.596306E-05        4.442740E-05
         576.8551        3.458670E-05        4.275814E-05
         578.9079        3.488682E-05        4.316049E-05
         580.9608        3.725505E-05        4.612383E-05
         583.0137        3.650040E-05        4.522233E-05
         585.0665        3.580226E-05        4.438956E-05
         587.1194        3.827852E-05        4.749419E-05
         589.1723        3.853041E-05        4.784140E-05
         591.2251        3.709815E-05        4.609643E-05
         593.2780        3.913206E-05        4.865892E-05
         595.3309        4.052277E-05        5.042471E-05
         597.3837        3.883850E-05        4.836390E-05
         599.4366        3.996700E-05        4.980523E-05
         601.4895        4.233089E-05        5.278920E-05
         603.5423        4.099073E-05        5.115494E-05
         605.5952        4.097724E-05        5.117512E-05
         607.6481        4.387553E-05        5.483434E-05
         609.7009        4.343399E-05        5.432177E-05
         611.7538        4.234946E-05        5.300368E-05
         613.8066        4.516876E-05        5.657312E-05
         615.8595        4.598438E-05        5.763630E-05
         617.9124        4.421940E-05        5.546413E-05
         619.9652        4.633552E-05        5.816035E-05
         622.0181        4.845572E-05        6.086554E-05
         624.0710        4.662898E-05        5.861323E-05
         626.1238        4.757092E-05        5.984042E-05
         628.1767        5.069452E-05        6.381567E-05
         630.2296        4.950897E-05        6.236821E-05
         632.2824        4.911183E-05        6.191254E-05
         634.3353        5.264748E-05        6.641757E-05
         636.3882        5.269871E-05        6.653012E-05
         638.4410        5.116850E-05        6.464482E-05
         640.4939        5.437102E-05        6.874027E-05
         642.5468        5.597736E-05        7.082209E-05
         644.5996        5.387457E-05        6.821073E-05
         646.6525        5.604444E-05        7.100906E-05
         648.7054        5.913446E-05        7.497807E-05
         650.7582        5.724834E-05        7.263881E-05
         652.8111        5.793144E-05        7.355841E-05
         654.8640        6.203284E-05        7.882278E-05
         656.9168        6.118175E-05        7.779720E-05
         658.9697        6.030661E-05        7.673949E-05
         661.0225        6.463112E-05        8.230144E-05
         663.0754        6.545076E-05        8.340502E-05
         665.1283        6.341351E-05        8.086692E-05
         667.1811        6.706201E-05        8.558097E-05
         669.2340        6.980218E-05        8.914174E-05
         671.2869        6.738563E-05        8.611738E-05
         673.3397        6.958213E-05        8.898822E-05
         675.3926        7.400556E-05        9.471316E-05
         677.4455        7.220903E-05        9.248017E-05
         679.4983        7.253369E-05        9.296252E-05
         681.5512        7.793451E-05        9.995600E-05
         683.6041        7.772172E-05        9.975445E-05
         685.6569        7.626651E-05        9.795678E-05
         687.7098        8.161644E-05        1.049033E-04
         689.7627        8.364975E-05        1.075936E-04
         691.8155        8.106644E-05        1.043454E-04
         693.8684        8.528538E-05        1.098544E-04
         695.9213        8.971148E-05        1.156381E-04
         697.9741        8.706685E-05        1.123094E-04
         700.0270        8.927588E-05        1.152412E-04
         702.0798        9.561810E-05        1.235161E-04
         704.1327        9.420479E-05        1.217773E-04
         706.1856        9.407760E-05        1.216997E-04
         708.2384        1.013229E-04        1.311659E-04
         710.2913        1.022831E-04        1.325033E-04
         712.3442        1.001431E-04        1.298236E-04
         714.3970        1.069387E-04        1.387321E-04
         716.4499        1.109604E-04        1.440520E-04
         718.5028        1.078212E-04        1.400765E-04
         720.5556        1.128311E-04        1.466895E-04
         722.6085        1.198995E-04        1.559900E-04
         724.6614        1.172761E-04        1.526855E-04
         726.7142        1.195629E-04        1.557736E-04
         728.7671        1.288802E-04        1.680322E-04
         730.8200        1.284391E-04        1.675762E-04
         732.8728        1.277461E-04        1.667906E-04
         734.9257        1.377923E-04        1.800352E-04
         736.9786        1.409607E-04        1.843059E-04
         739.0314        1.380839E-04        1.806728E-04
