  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
         778.0359        4.130368E-03        5.477505E-03
         780.0887        3.196768E-03        4.242403E-03
         782.1416        2.857226E-03        3.794478E-03
         784.1944        2.641767E-03        3.510820E-03
         786.2473        2.684427E-03        3.570031E-03
         788.3002        2.775402E-03        3.693625E-03
         790.3530        2.490012E-03        3.316154E-03
         792.4059        2.279086E-03        3.037386E-03
         794.4588        2.469919E-03        3.294035E-03
         796.5116        2.507533E-03        3.346557E-03
         798.5645        2.457901E-03        3.282629E-03
         800.6174        3.174023E-03        4.242026E-03
         802.6702        3.982195E-03        5.325882E-03
         804.7231        3.549431E-03        4.750436E-03
         806.7760        2.465244E-03        3.301720E-03
         808.8288        1.853821E-03        2.484584E-03
         810.8817        1.679159E-03        2.252077E-03
         812.9346        1.619683E-03        2.173836E-03
         814.9874        1.700150E-03        2.283438E-03
         817.0403        1.893980E-03        2.545554E-03
         819.0932        1.901957E-03        2.558073E-03
         821.1460        1.794090E-03        2.414690E-03
         823.1989        1.833652E-03        2.469671E-03
         825.2517        1.744353E-03        2.351046E-03
         827.3046        1.544715E-03        2.083435E-03
         829.3575        1.668542E-03        2.252026E-03
         831.4103        2.323985E-03        3.138875E-03
         833.4632        3.625973E-03        4.900832E-03
         835.5161        4.757764E-03        6.435058E-03
         837.5689        4.566708E-03        6.180976E-03
         839.6218        3.617724E-03        4.899971E-03
         841.6747        3.012806E-03        4.083507E-03
         843.7275        2.759156E-03        3.742333E-03
         845.7804        2.711885E-03        3.680794E-03
         847.8333        3.028796E-03        4.113808E-03
         849.8861        3.560123E-03        4.838857E-03
         851.9390        3.896566E-03        5.299848E-03
         853.9919        3.850495E-03        5.240849E-03
         856.0447        3.436558E-03        4.680715E-03
         858.0976        2.731924E-03        3.723579E-03
         860.1505        2.098922E-03        2.862804E-03
         862.2033        2.018929E-03        2.755621E-03
         864.2562        2.498581E-03        3.412676E-03
         866.3091        3.071335E-03        4.197898E-03
         868.3619        3.302759E-03        4.517360E-03
         870.4148        2.946176E-03        4.032453E-03
         872.4676        2.288141E-03        3.133980E-03
         874.5205        2.103925E-03        2.883675E-03
         876.5734        2.237969E-03        3.069537E-03
         878.6262        1.956820E-03        2.685791E-03
         880.6791        1.616365E-03        2.220052E-03
         882.7320        1.567295E-03        2.154155E-03
         884.7848        1.411724E-03        1.941683E-03
         886.8377        1.319206E-03        1.815697E-03
         888.8906        1.550713E-03        2.135818E-03
         890.9434        1.628266E-03        2.244193E-03
         892.9963        1.434002E-03        1.977819E-03
         895.0492        1.501400E-03        2.072216E-03
         897.1020        1.882747E-03        2.600354E-03
         899.1549        2.089847E-03        2.888395E-03
         901.2078        1.865081E-03        2.579535E-03
         903.2606        1.363143E-03        1.886630E-03
         905.3135        9.801558E-04        1.357506E-03
         907.3664        8.802166E-04        1.219937E-03
         909.4192        9.741181E-04        1.351017E-03
         911.4721        1.291747E-03        1.792783E-03
         913.5249        1.604803E-03        2.228811E-03
         915.5778        1.756687E-03        2.441445E-03
         917.6307        2.009603E-03        2.794883E-03
         919.6835        2.075319E-03        2.888277E-03
         921.7364        1.698474E-03        2.365451E-03
         923.7893        1.504822E-03        2.097203E-03
         925.8421        1.650825E-03        2.302274E-03
         927.8950        1.681229E-03        2.346300E-03
         929.9479        1.614001E-03        2.254035E-03
         932.0007        1.517370E-03        2.120550E-03
         934.0536        1.339448E-03        1.873197E-03
         936.1065        1.401115E-03        1.960791E-03
         938.1593        1.704084E-03        2.386430E-03
         940.2122        1.766925E-03        2.476143E-03
         942.2651        1.883899E-03        2.641892E-03
